kappa,gamma,method,mode,eigenvalue,spectral_radius,stationary_squared_tracking_error,lyapunov_max_abs_residual
10.0,0.1,nag,44,7.906043210907698,0.43411531995347413,0.0001804310944047618,2.710505431213761e-20
10.0,0.1,nag,45,8.286427728546842,0.3927104587743802,0.0001802040889817521,2.710505431213761e-20
10.0,0.1,nag,46,8.685113737513525,0.34400547033991,0.00018112887761102448,5.421010862427522e-20
10.0,0.1,nag,47,9.102981779915218,0.28413313746838875,0.0001835485502679608,2.710505431213761e-20
10.0,0.1,nag,48,9.54095476349994,0.20325863151415088,0.0001879912282428612,2.710505431213761e-20
10.0,0.1,nag,49,10.0,0.0,0.0001953125,0.0
1000.0,0.001,sgd,0,1.0,0.999,0.0009994773011505885,3.4304834363799164e-20
1000.0,0.001,sgd,1,1.1513953993264474,0.9988486046006736,0.0008679887867946691,2.541098841762901e-20
1000.0,0.001,sgd,2,1.3257113655901092,0.9986742886344099,0.0007537895482324856,2.668153783851046e-20
1000.0,0.001,sgd,3,1.5264179671752334,0.9984735820328248,0.0006546062471460474,4.658681209898652e-21
1000.0,0.001,sgd,4,1.7575106248547918,0.9982424893751453,0.000568464464080204,6.522153693858113e-20
1000.0,0.001,sgd,5,2.023589647725157,0.9979764103522748,0.0004936493941237969,1.0164395367051604e-20
1000.0,0.001,sgd,6,2.329951810515372,0.9976700481894847,0.00042867171067890157,2.668153783851046e-20
1000.0,0.001,sgd,7,2.6826957952797255,0.9973173042047203,0.00037223791777572454,1.2705494208814505e-20
1000.0,0.001,sgd,8,3.088843596477481,0.9969111564035226,0.00032322460074448106,3.5151867311053464e-20
1000.0,0.001,sgd,9,3.5564803062231287,0.9964435196937769,0.00028065606265756046,4.701032857261367e-20
1000.0,0.001,sgd,10,4.094915062380426,0.9959050849376195,0.00024368490135644562,2.964615315390051e-21
1000.0,0.001,sgd,11,4.714866363457394,0.9952851336365426,0.0002115751404148243,1.7364175418713157e-20
1000.0,0.001,sgd,12,5.428675439323859,0.9945713245606761,0.0001836875782303332,8.046812998915853e-21
1000.0,0.001,sgd,13,6.250551925273973,0.993749448074726,0.00015946706359321072,2.456395547037471e-20
1000.0,0.001,sgd,14,7.196856730011519,0.9928031432699885,0.0001384314444302912,3.8116482626443515e-21
1000.0,0.001,sgd,15,8.286427728546844,0.9917135722714532,0.00012016196973060791,8.470329472543003e-22
1000.0,0.001,sgd,16,9.54095476349994,0.9904590452365001,0.00010429495358735155,5.505714157152952e-21
1000.0,0.001,sgd,17,10.985411419875584,0.9890145885801244,9.051453541608376e-05,4.658681209898652e-21
1000.0,0.001,sgd,18,12.648552168552959,0.987351447831447,7.85463922311391e-05,3.3881317890172014e-21
1000.0,0.001,sgd,19,14.563484775012437,0.9854365152249875,6.815227781537834e-05,3.3881317890172014e-21
1000.0,0.001,sgd,20,16.768329368110084,0.9832316706318899,5.9125280080500236e-05,4.235164736271502e-21
1000.0,0.001,sgd,21,19.306977288832496,0.9806930227111675,5.12857022135404e-05,8.470329472543003e-22
1000.0,0.001,sgd,22,22.229964825261945,0.977770035174738,4.447748562499961e-05,0.0
1000.0,0.001,sgd,23,25.59547922699536,0.9744045207730047,3.8565103502566626e-05,2.541098841762901e-21
1000.0,0.001,sgd,24,29.4705170255181,0.9705294829744819,3.343086314675088e-05,1.6940658945086007e-21
1000.0,0.001,sgd,25,33.93221771895328,0.9660677822810467,2.89725634079545e-05,2.117582368135751e-21
1000.0,0.001,sgd,26,39.06939937054617,0.9609306006294538,2.5101460621263973e-05,1.2705494208814505e-21
1000.0,0.001,sgd,27,44.98432668969446,0.9550156733103056,2.1740502587345312e-05,1.6940658945086007e-21
1000.0,0.001,sgd,28,51.7947467923121,0.9482052532076879,1.8822795499022476e-05,3.3881317890172014e-21
1000.0,0.001,sgd,29,59.63623316594643,0.9403637668340535,1.6290273371846232e-05,4.235164736271502e-22
1000.0,0.001,sgd,30,68.66488450043002,0.9313351154995699,1.4092543598776488e-05,6.352747104407253e-22
1000.0,0.001,sgd,31,79.06043210907697,0.920939567890923,1.2185885799117075e-05,1.2705494208814505e-21
1000.0,0.001,sgd,32,91.02981779915217,0.9089701822008478,1.0532384247180481e-05,4.235164736271502e-22
1000.0,0.001,sgd,33,104.81131341546852,0.8951886865845314,9.099176918847469e-06,4.235164736271502e-22
1000.0,0.001,sgd,34,120.67926406393289,0.8793207359360671,7.857806654735873e-06,0.0
1000.0,0.001,sgd,35,138.94954943731375,0.8610504505626863,6.783662181259296e-06,8.470329472543003e-22
1000.0,0.001,sgd,36,159.98587196060572,0.8400141280393942,5.855498841168946e-06,0.0
1000.0,0.001,sgd,37,184.20699693267164,0.8157930030673284,5.055030973799118e-06,0.0
1000.0,0.001,sgd,38,212.09508879201903,0.787904911207981,4.366590110893577e-06,4.235164736271502e-22
1000.0,0.001,sgd,39,244.205309454865,0.755794690545135,3.776845766410021e-06,0.0
1000.0,0.001,sgd,40,281.1768697974231,0.7188231302025769,3.2745890214880615e-06,0.0
1000.0,0.001,sgd,41,323.74575428176433,0.6762542457182357,2.8505841006661256e-06,2.117582368135751e-22
1000.0,0.001,sgd,42,372.7593720314938,0.6272406279685062,2.497501146893131e-06,2.117582368135751e-22
1000.0,0.001,sgd,43,429.1934260128778,0.5708065739871222,2.2099573114499573e-06,2.117582368135751e-22
1000.0,0.001,sgd,44,494.1713361323833,0.5058286638676166,1.9847191379920667e-06,0.0
1000.0,0.001,sgd,45,568.9866029018293,0.43101339709817066,1.8211705500437456e-06,0.0
1000.0,0.001,sgd,46,655.1285568595509,0.34487144314044904,1.7222598188722776e-06,0.0
1000.0,0.001,sgd,47,754.3120063354615,0.24568799366453842,1.696389268098072e-06,0.0
1000.0,0.001,sgd,48,868.511373751352,0.131488626248648,1.7613420938777037e-06,2.117582368135751e-22
1000.0,0.001,sgd,49,1000.0,0.0,1.953125e-06,0.0
1000.0,0.001,hb,0,1.0,0.9888732142452201,0.00011727069623585161,7.199780051661553e-21
1000.0,0.001,hb,1,1.1513953993264474,0.9869277127916678,0.00010412260160546524,1.1858461261560205e-20
1000.0,0.001,hb,2,1.3257113655901092,0.9845651669745386,9.27035492050046e-05,4.235164736271502e-22
1000.0,0.001,hb,3,1.5264179671752334,0.9816479838228513,8.278622258425013e-05,8.893845946170154e-21
1000.0,0.001,hb,4,1.7575106248547918,0.9779506934732687,7.417319981860692e-05,1.6093625997831706e-20
1000.0,0.001,hb,5,2.023589647725157,0.9730425927889347,6.669302347933926e-05,1.0164395367051604e-20
1000.0,0.001,hb,6,2.329951810515372,0.9658027272059542,6.019678747433631e-05,4.235164736271502e-22
1000.0,0.001,hb,7,2.6826957952797255,0.9486832980505138,5.455517281481045e-05,8.470329472543003e-22
1000.0,0.001,hb,8,3.088843596477481,0.948683298050514,4.9655873300140554e-05,5.505714157152952e-21
1000.0,0.001,hb,9,3.5564803062231287,0.9486832980505138,4.540135987523827e-05,6.3527471044072525e-21
1000.0,0.001,hb,10,4.094915062380426,0.9486832980505138,4.170693915692972e-05,3.8116482626443515e-21
1000.0,0.001,hb,11,4.714866363457394,0.9486832980505137,3.8499067482102593e-05,2.964615315390051e-21
1000.0,0.001,hb,12,5.428675439323859,0.9486832980505138,3.571388691738023e-05,5.505714157152952e-21
1000.0,0.001,hb,13,6.250551925273973,0.9486832980505139,3.329595408916223e-05,4.235164736271502e-21
1000.0,0.001,hb,14,7.196856730011519,0.9486832980505139,3.11971365320123e-05,2.964615315390051e-21
1000.0,0.001,hb,15,8.286427728546844,0.948683298050514,2.9375654589074408e-05,8.470329472543003e-22
1000.0,0.001,hb,16,9.54095476349994,0.9486832980505139,2.7795249796936297e-05,1.2705494208814505e-21
1000.0,0.001,hb,17,10.985411419875584,0.9486832980505139,2.642446320694609e-05,4.658681209898652e-21
1000.0,0.001,hb,18,12.648552168552959,0.9486832980505138,2.5236009285727098e-05,3.3881317890172014e-21
1000.0,0.001,hb,19,14.563484775012437,0.9486832980505138,2.4206232943327352e-05,2.448454613156962e-22
1000.0,0.001,hb,20,16.768329368110084,0.9486832980505138,2.3314638896291426e-05,8.470329472543003e-22
1000.0,0.001,hb,21,19.306977288832496,0.9486832980505139,2.2543484018318194e-05,8.470329472543003e-22
