scenario,method,seed,dimension,horizon,batch_size,kappa,drift_step_norm,beta,gamma,label_noise_variance,tail_squared_tracking_error,final_squared_tracking_error,oracle
kappa_sweep,nag,7,50,5000,256,10.0,0.01,0.9,0.1,0.5,0.019738824857845897,0.015891887504800504,Gaussian with exact least-squares mini-batch mean/covariance
kappa_sweep,nag,8,50,5000,256,10.0,0.01,0.9,0.1,0.5,0.019744638904376752,0.015547284179328392,Gaussian with exact least-squares mini-batch mean/covariance
kappa_sweep,nag,9,50,5000,256,10.0,0.01,0.9,0.1,0.5,0.019709848015977232,0.020133325870314012,Gaussian with exact least-squares mini-batch mean/covariance
kappa_sweep,nag,10,50,5000,256,10.0,0.01,0.9,0.1,0.5,0.020243141352363898,0.016622782235734188,Gaussian with exact least-squares mini-batch mean/covariance
kappa_sweep,nag,11,50,5000,256,10.0,0.01,0.9,0.1,0.5,0.019930772965103493,0.017402210782063367,Gaussian with exact least-squares mini-batch mean/covariance
kappa_sweep,nag,12,50,5000,256,10.0,0.01,0.9,0.1,0.5,0.020152317138399756,0.027299637791734895,Gaussian with exact least-squares mini-batch mean/covariance
kappa_sweep,nag,13,50,5000,256,10.0,0.01,0.9,0.1,0.5,0.020062463452884167,0.020177336806697765,Gaussian with exact least-squares mini-batch mean/covariance
kappa_sweep,nag,14,50,5000,256,10.0,0.01,0.9,0.1,0.5,0.0198365976289801,0.022375928956548413,Gaussian with exact least-squares mini-batch mean/covariance
kappa_sweep,nag,15,50,5000,256,10.0,0.01,0.9,0.1,0.5,0.019880570104514484,0.02162872267058053,Gaussian with exact least-squares mini-batch mean/covariance
kappa_sweep,nag,16,50,5000,256,10.0,0.01,0.9,0.1,0.5,0.01992176163908114,0.02210009477518954,Gaussian with exact least-squares mini-batch mean/covariance
kappa_sweep,nag,17,50,5000,256,10.0,0.01,0.9,0.1,0.5,0.019583528656840522,0.018208620239547734,Gaussian with exact least-squares mini-batch mean/covariance
kappa_sweep,nag,18,50,5000,256,10.0,0.01,0.9,0.1,0.5,0.020162040898560083,0.023506090315974684,Gaussian with exact least-squares mini-batch mean/covariance
kappa_sweep,nag,19,50,5000,256,10.0,0.01,0.9,0.1,0.5,0.01958496244183144,0.012295808531754791,Gaussian with exact least-squares mini-batch mean/covariance
kappa_sweep,sgd,0,50,5000,256,30.0,0.01,0.0,0.03333333333333333,0.5,0.0023794497769858325,0.0019502053134598286,Gaussian with exact least-squares mini-batch mean/covariance
kappa_sweep,sgd,1,50,5000,256,30.0,0.01,0.0,0.03333333333333333,0.5,0.0023915971498220893,0.0028692851684497607,Gaussian with exact least-squares mini-batch mean/covariance
kappa_sweep,sgd,2,50,5000,256,30.0,0.01,0.0,0.03333333333333333,0.5,0.0024141941826538544,0.002558256752447377,Gaussian with exact least-squares mini-batch mean/covariance
kappa_sweep,sgd,3,50,5000,256,30.0,0.01,0.0,0.03333333333333333,0.5,0.00241080106579463,0.0025446493321477823,Gaussian with exact least-squares mini-batch mean/covariance
kappa_sweep,sgd,4,50,5000,256,30.0,0.01,0.0,0.03333333333333333,0.5,0.0024521233748568743,0.0031142311401526745,Gaussian with exact least-squares mini-batch mean/covariance
kappa_sweep,sgd,5,50,5000,256,30.0,0.01,0.0,0.03333333333333333,0.5,0.002415191288356715,0.0025828698182932194,Gaussian with exact least-squares mini-batch mean/covariance
kappa_sweep,sgd,6,50,5000,256,30.0,0.01,0.0,0.03333333333333333,0.5,0.0024400620687570138,0.0019198898557367815,Gaussian with exact least-squares mini-batch mean/covariance
kappa_sweep,sgd,7,50,5000,256,30.0,0.01,0.0,0.03333333333333333,0.5,0.002421615370137066,0.0030539275870766756,Gaussian with exact least-squares mini-batch mean/covariance
kappa_sweep,sgd,8,50,5000,256,30.0,0.01,0.0,0.03333333333333333,0.5,0.002372838228575143,0.002026645984100225,Gaussian with exact least-squares mini-batch mean/covariance
kappa_sweep,sgd,9,50,5000,256,30.0,0.01,0.0,0.03333333333333333,0.5,0.0024012459889863917,0.002514583232230667,Gaussian with exact least-squares mini-batch mean/covariance
kappa_sweep,sgd,10,50,5000,256,30.0,0.01,0.0,0.03333333333333333,0.5,0.002430665064780688,0.0027244415667151026,Gaussian with exact least-squares mini-batch mean/covariance
kappa_sweep,sgd,11,50,5000,256,30.0,0.01,0.0,0.03333333333333333,0.5,0.0024239151403718444,0.0015992976837682043,Gaussian with exact least-squares mini-batch mean/covariance
kappa_sweep,sgd,12,50,5000,256,30.0,0.01,0.0,0.03333333333333333,0.5,0.0024458143470315287,0.002453463219715785,Gaussian with exact least-squares mini-batch mean/covariance
kappa_sweep,sgd,13,50,5000,256,30.0,0.01,0.0,0.03333333333333333,0.5,0.0024524288796869994,0.002188486955439487,Gaussian with exact least-squares mini-batch mean/covariance
