gamma,beta,noise_variance,method,seeds,dimension,horizon,drift,mean_final_error,std_final_error,sem_final_error
0.1,0.5,0.5,nag,20,100,5000,0.01,4.947670806958513,0.9339884359981825,0.20884616330906475
0.1,0.5,0.8,sgd,20,100,5000,0.01,4.186826728517842,0.5822208096074198,0.13018853081971535
0.1,0.5,0.8,hb,20,100,5000,0.01,8.205249016516534,1.1036914104175641,0.2467929019876293
0.1,0.5,0.8,nag,20,100,5000,0.01,7.912724883285227,1.4516429023284563,0.32459722086615156
0.1,0.9,0.1,sgd,20,100,5000,0.01,0.5261243366266704,0.07499015902501507,0.016768309322345305
0.1,0.9,0.1,hb,20,100,5000,0.01,4.976637703670827,0.7091592534900336,0.158572829767672
0.1,0.9,0.1,nag,20,100,5000,0.01,2.749339591809937,0.39402709498820987,0.08810713693704039
0.1,0.9,0.5,sgd,20,100,5000,0.01,2.6341994672710087,0.3812744758414764,0.08525556460671425
0.1,0.9,0.5,hb,20,100,5000,0.01,25.156885190059505,3.8920032806343663,0.8702783904150634
0.1,0.9,0.5,nag,20,100,5000,0.01,13.29265106874107,1.9128500468299032,0.42772627354753195
0.1,0.9,0.8,sgd,20,100,5000,0.01,4.22384044802474,0.5253007898667924,0.11746082747764805
0.1,0.9,0.8,hb,20,100,5000,0.01,40.11054057934588,5.056741111507856,1.130721686994941
0.1,0.9,0.8,nag,20,100,5000,0.01,20.798916061554355,3.179399144135745,0.7109352613892178
0.1,0.95,0.1,sgd,20,100,5000,0.01,0.5303827003287666,0.06947670753175075,0.01553546408938663
0.1,0.95,0.1,hb,20,100,5000,0.01,10.588758673945033,1.2772645071722024,0.2856050263284812
0.1,0.95,0.1,nag,20,100,5000,0.01,3.662517508142438,0.4731060555533803,0.10578973007841502
0.1,0.95,0.5,sgd,20,100,5000,0.01,2.647163767539995,0.4002248848955558,0.08949300489134915
0.1,0.95,0.5,hb,20,100,5000,0.01,51.69572581967843,7.371907228891533,1.6484085687623569
0.1,0.95,0.5,nag,20,100,5000,0.01,18.58237238371725,2.496754486835058,0.5582912755690793
0.1,0.95,0.8,sgd,20,100,5000,0.01,4.17321305465103,0.6311355973961513,0.14112620987977337
0.1,0.95,0.8,hb,20,100,5000,0.01,82.5708821799656,13.645990487517873,3.0513362350405457
0.1,0.95,0.8,nag,20,100,5000,0.01,29.19195724486695,4.42068009149972,0.9884941191373363
0.1,0.99,0.1,sgd,20,100,5000,0.01,0.5577959239372101,0.05531911152402287,0.012369729382260712
0.1,0.99,0.1,hb,20,100,5000,0.01,52.86689585865837,7.88615596950287,1.7633980828974174
0.1,0.99,0.1,nag,20,100,5000,0.01,4.692101934571457,0.8085190569975746,0.18079035725506037
0.1,0.99,0.5,sgd,20,100,5000,0.01,2.7734437184478895,0.28874325228946085,0.06456495401636062
0.1,0.99,0.5,hb,20,100,5000,0.01,257.2240779507773,36.49042441366449,8.159506951677171
0.1,0.99,0.5,nag,20,100,5000,0.01,22.964869334350308,3.681137282588583,0.8231273198376924
0.1,0.99,0.8,sgd,20,100,5000,0.01,4.42221052378068,0.48296799761288584,0.10799492736193689
0.1,0.99,0.8,hb,20,100,5000,0.01,399.04037962175215,64.70539645981565,14.468566499522202
0.1,0.99,0.8,nag,20,100,5000,0.01,37.14884804222813,5.300888799267225,1.1853147696328752
