route,method,seed,dimension,horizon,batch_size,kappa,drift_step_norm,beta,gamma,label_noise_variance,tail_squared_tracking_error,final_squared_tracking_error,oracle
raw_minibatch,nag,15,50,5000,256,10.0,0.01,0.9,0.1,0.5,0.019715400486086367,0.018605144709765226,literal Gaussian-design raw mini-batch
raw_minibatch,nag,16,50,5000,256,10.0,0.01,0.9,0.1,0.5,0.019880834160083048,0.017518952147495524,literal Gaussian-design raw mini-batch
raw_minibatch,nag,17,50,5000,256,10.0,0.01,0.9,0.1,0.5,0.019895928430123794,0.01496021415934555,literal Gaussian-design raw mini-batch
raw_minibatch,nag,18,50,5000,256,10.0,0.01,0.9,0.1,0.5,0.019903689084735565,0.010358444067149992,literal Gaussian-design raw mini-batch
raw_minibatch,nag,19,50,5000,256,10.0,0.01,0.9,0.1,0.5,0.02006019648107839,0.021345497048053566,literal Gaussian-design raw mini-batch
raw_minibatch,sgd,0,50,5000,256,1000.0,0.01,0.0,0.001,0.5,0.009095332601109075,0.0092324318551585,literal Gaussian-design raw mini-batch
raw_minibatch,sgd,1,50,5000,256,1000.0,0.01,0.0,0.001,0.5,0.006766960095683607,0.009155791455128277,literal Gaussian-design raw mini-batch
raw_minibatch,sgd,2,50,5000,256,1000.0,0.01,0.0,0.001,0.5,0.006021996816054358,0.007143458256243186,literal Gaussian-design raw mini-batch
raw_minibatch,sgd,3,50,5000,256,1000.0,0.01,0.0,0.001,0.5,0.009151932667876736,0.0062865747678446686,literal Gaussian-design raw mini-batch
raw_minibatch,sgd,4,50,5000,256,1000.0,0.01,0.0,0.001,0.5,0.007620994253251591,0.007052096696616579,literal Gaussian-design raw mini-batch
raw_minibatch,sgd,5,50,5000,256,1000.0,0.01,0.0,0.001,0.5,0.006080300194397847,0.008477887073786565,literal Gaussian-design raw mini-batch
raw_minibatch,sgd,6,50,5000,256,1000.0,0.01,0.0,0.001,0.5,0.008572253280668475,0.015654174154582853,literal Gaussian-design raw mini-batch
raw_minibatch,sgd,7,50,5000,256,1000.0,0.01,0.0,0.001,0.5,0.007758174833957872,0.007618333283320983,literal Gaussian-design raw mini-batch
raw_minibatch,sgd,8,50,5000,256,1000.0,0.01,0.0,0.001,0.5,0.008435312248864187,0.00424045446508955,literal Gaussian-design raw mini-batch
raw_minibatch,sgd,9,50,5000,256,1000.0,0.01,0.0,0.001,0.5,0.007127827896681359,0.005733617192670671,literal Gaussian-design raw mini-batch
raw_minibatch,sgd,10,50,5000,256,1000.0,0.01,0.0,0.001,0.5,0.005518113427574734,0.007200877690513579,literal Gaussian-design raw mini-batch
raw_minibatch,sgd,11,50,5000,256,1000.0,0.01,0.0,0.001,0.5,0.006404389634203875,0.007335986529466148,literal Gaussian-design raw mini-batch
raw_minibatch,sgd,12,50,5000,256,1000.0,0.01,0.0,0.001,0.5,0.007490201576797044,0.005262667926527891,literal Gaussian-design raw mini-batch
raw_minibatch,sgd,13,50,5000,256,1000.0,0.01,0.0,0.001,0.5,0.010270993721945633,0.006535860828002241,literal Gaussian-design raw mini-batch
raw_minibatch,sgd,14,50,5000,256,1000.0,0.01,0.0,0.001,0.5,0.005535138376339837,0.007027796930383534,literal Gaussian-design raw mini-batch
