beta,method,seed,dimension,horizon,mu,smoothness,condition_number,drift_step_norm,noise_std,gamma,stability_cap,gamma_within_cap,tail_squared_tracking_error,final_squared_tracking_error
0.9,hb,1,100,5000,1.0,10.0,10.0,0.01,0.02,1.999999999999999e-05,2.4999999999999988e-05,True,0.08528950248813684,0.07626391926993777
0.9,hb,2,100,5000,1.0,10.0,10.0,0.01,0.02,1.999999999999999e-05,2.4999999999999988e-05,True,0.08200982210328703,0.08424546904069984
0.9,hb,3,100,5000,1.0,10.0,10.0,0.01,0.02,1.999999999999999e-05,2.4999999999999988e-05,True,0.08426612042497325,0.09297370120339025
0.9,hb,4,100,5000,1.0,10.0,10.0,0.01,0.02,1.999999999999999e-05,2.4999999999999988e-05,True,0.09048494736426436,0.10200210986070636
0.9,hb,5,100,5000,1.0,10.0,10.0,0.01,0.02,1.999999999999999e-05,2.4999999999999988e-05,True,0.07630314372764559,0.09458788745713564
0.9,hb,6,100,5000,1.0,10.0,10.0,0.01,0.02,1.999999999999999e-05,2.4999999999999988e-05,True,0.08123120704392595,0.07250548101545691
0.9,hb,7,100,5000,1.0,10.0,10.0,0.01,0.02,1.999999999999999e-05,2.4999999999999988e-05,True,0.10024529461291379,0.10711645130586303
0.9,hb,8,100,5000,1.0,10.0,10.0,0.01,0.02,1.999999999999999e-05,2.4999999999999988e-05,True,0.08707902907921335,0.0833633657550628
0.9,hb,9,100,5000,1.0,10.0,10.0,0.01,0.02,1.999999999999999e-05,2.4999999999999988e-05,True,0.09307897661963713,0.10218746426143008
0.9,hb,10,100,5000,1.0,10.0,10.0,0.01,0.02,1.999999999999999e-05,2.4999999999999988e-05,True,0.08969444902883893,0.09343381584240698
0.9,hb,11,100,5000,1.0,10.0,10.0,0.01,0.02,1.999999999999999e-05,2.4999999999999988e-05,True,0.0943063258930184,0.08861358127117903
0.9,hb,12,100,5000,1.0,10.0,10.0,0.01,0.02,1.999999999999999e-05,2.4999999999999988e-05,True,0.07325789526647485,0.07742479006499027
0.9,hb,13,100,5000,1.0,10.0,10.0,0.01,0.02,1.999999999999999e-05,2.4999999999999988e-05,True,0.09159225815608302,0.08151871847071007
0.9,hb,14,100,5000,1.0,10.0,10.0,0.01,0.02,1.999999999999999e-05,2.4999999999999988e-05,True,0.09026047500251635,0.07863951840260887
0.9,hb,15,100,5000,1.0,10.0,10.0,0.01,0.02,1.999999999999999e-05,2.4999999999999988e-05,True,0.11127045727786833,0.08547001031865806
0.9,hb,16,100,5000,1.0,10.0,10.0,0.01,0.02,1.999999999999999e-05,2.4999999999999988e-05,True,0.08032327893815353,0.09041958748784712
0.9,hb,17,100,5000,1.0,10.0,10.0,0.01,0.02,1.999999999999999e-05,2.4999999999999988e-05,True,0.09746468163766667,0.08377670130234974
0.9,hb,18,100,5000,1.0,10.0,10.0,0.01,0.02,1.999999999999999e-05,2.4999999999999988e-05,True,0.08097080915765532,0.08780824804224088
0.9,hb,19,100,5000,1.0,10.0,10.0,0.01,0.02,1.999999999999999e-05,2.4999999999999988e-05,True,0.08280022617735477,0.08630696801124807
0.9,nag,0,100,5000,1.0,10.0,10.0,0.01,0.02,1.999999999999999e-05,2.4999999999999988e-05,True,0.08520089982373216,0.08281216239475007
0.9,nag,1,100,5000,1.0,10.0,10.0,0.01,0.02,1.999999999999999e-05,2.4999999999999988e-05,True,0.0978161797064426,0.09493282681502255
0.9,nag,2,100,5000,1.0,10.0,10.0,0.01,0.02,1.999999999999999e-05,2.4999999999999988e-05,True,0.12683825359242823,0.10535519378855468
0.9,nag,3,100,5000,1.0,10.0,10.0,0.01,0.02,1.999999999999999e-05,2.4999999999999988e-05,True,0.08278762136269592,0.08162922548085993
0.9,nag,4,100,5000,1.0,10.0,10.0,0.01,0.02,1.999999999999999e-05,2.4999999999999988e-05,True,0.11978662791717855,0.08865269974746644
0.9,nag,5,100,5000,1.0,10.0,10.0,0.01,0.02,1.999999999999999e-05,2.4999999999999988e-05,True,0.0854059275069781,0.08484159884246248
0.9,nag,6,100,5000,1.0,10.0,10.0,0.01,0.02,1.999999999999999e-05,2.4999999999999988e-05,True,0.10723275927895402,0.11637488712864955
